,Geo_Type,Geo_Name,Geo_ID,UnemploymentRate_ESRI,UnemploymentRate_BLS,Unemployment_Adjustment
108,US.CBSA,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,10.4,7.2,0.6923076923076923
109,US.CBSA,"Bangor, ME Metropolitan Statistical Area",12620,14.9,4.3,0.2885906040268456
110,US.CBSA,"Baraboo, WI Micropolitan Statistical Area",12660,12.6,5.1,0.40476190476190477
111,US.CBSA,"Bardstown, KY Micropolitan Statistical Area",12680,16.6,5.6,0.3373493975903614
112,US.CBSA,"Barnstable Town, MA Metropolitan Statistical Area",12700,15.5,6.9,0.44516129032258067
113,US.CBSA,"Barre, VT Micropolitan Statistical Area",12740,11.8,1.9,0.16101694915254236
114,US.CBSA,"Bartlesville, OK Micropolitan Statistical Area",12780,9.0,6.0,0.6666666666666666
115,US.CBSA,"Batavia, NY Micropolitan Statistical Area",12860,10.5,5.1,0.48571428571428565
116,US.CBSA,"Batesville, AR Micropolitan Statistical Area",12900,11.1,5.1,0.45945945945945943
117,US.CBSA,"Baton Rouge, LA Metropolitan Statistical Area",12940,17.1,8.0,0.4678362573099415
118,US.CBSA,"Battle Creek, MI Metropolitan Statistical Area",12980,21.7,5.3,0.24423963133640553
119,US.CBSA,"Bay City, MI Metropolitan Statistical Area",13020,21.0,4.6,0.21904761904761902
120,US.CBSA,"Bay City, TX Micropolitan Statistical Area",13060,9.6,9.5,0.9895833333333334
121,US.CBSA,"Beatrice, NE Micropolitan Statistical Area",13100,7.3,2.5,0.3424657534246575
122,US.CBSA,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",13140,8.8,10.0,1.1363636363636362
123,US.CBSA,"Beaver Dam, WI Micropolitan Statistical Area",13180,11.2,3.8,0.3392857142857143
124,US.CBSA,"Beckley, WV Metropolitan Statistical Area",13220,9.6,6.3,0.65625
125,US.CBSA,"Bedford, IN Micropolitan Statistical Area",13260,11.9,4.7,0.3949579831932773
126,US.CBSA,"Beeville, TX Micropolitan Statistical Area",13300,8.7,9.9,1.1379310344827587
127,US.CBSA,"Bellefontaine, OH Micropolitan Statistical Area",13340,14.4,4.0,0.2777777777777778
128,US.CBSA,"Bellingham, WA Metropolitan Statistical Area",13380,17.5,6.3,0.36
129,US.CBSA,"Bemidji, MN Micropolitan Statistical Area",13420,16.8,3.6,0.21428571428571427
130,US.CBSA,"Bend, OR Metropolitan Statistical Area",13460,9.3,6.1,0.6559139784946235
131,US.CBSA,"Bennettsville, SC Micropolitan Statistical Area",13500,16.3,6.8,0.4171779141104294
132,US.CBSA,"Bennington, VT Micropolitan Statistical Area",13540,13.1,2.7,0.20610687022900764
133,US.CBSA,"Berlin, NH Micropolitan Statistical Area",13620,18.7,4.2,0.22459893048128343
134,US.CBSA,"Big Rapids, MI Micropolitan Statistical Area",13660,21.8,4.4,0.2018348623853211
135,US.CBSA,"Big Spring, TX Micropolitan Statistical Area",13700,9.5,7.6,0.7999999999999999
