,Geo_ID,MSA_PriceChange,Geo_Type
156,40220,1.0142857902376003,MSA
157,24580,1.022179167424883,MSA
158,30700,1.0212975981817831,MSA
159,22660,1.008666619971516,MSA
160,46540,1.0081405466822957,MSA
161,17980,1.0081700231329254,MSA
162,14500,1.0120600300967753,MSA
163,31180,1.019299187088824,MSA
164,21500,1.0202608493580434,MSA
165,22900,1.003508677711841,MSA
166,20260,1.0108040506505012,MSA
167,12100,1.029001520477557,MSA
168,35980,1.0257283239070651,MSA
169,42020,1.014939216064637,MSA
170,23540,1.010921302235276,MSA
171,42100,1.032168244082052,MSA
172,17300,1.0187314600075508,MSA
173,16300,1.0046680561141785,MSA
174,32900,1.0219204721857356,MSA
175,48900,1.0103466745470329,MSA
176,28420,1.0110895401337259,MSA
177,24540,1.00878508088031,MSA
