,Geo_ID,ZIP_PriceChange,Geo_Type
147,89108,1.030451983156751,ZIP
148,85308,1.0438850849951984,ZIP
149,78577,1.0312328013208585,ZIP
150,78240,1.027349814294417,ZIP
151,94533,1.0226655117765477,ZIP
152,87111,1.028838869513585,ZIP
153,14850,1.0036890066856266,ZIP
154,33024,1.0215308522991564,ZIP
155,98012,1.0478531383341732,ZIP
156,48180,1.0434850617863287,ZIP
157,77845,1.0121771147677883,ZIP
158,30318,1.0257292787547354,ZIP
159,44060,1.026947792201089,ZIP
160,85364,1.0424565536078987,ZIP
161,95608,1.050964815820333,ZIP
162,43055,1.0302636551070332,ZIP
163,11385,1.008873923856897,ZIP
164,33647,1.0179360565964939,ZIP
165,92677,1.0272646965719712,ZIP
166,44256,1.0163231879909678,ZIP
167,2148,1.038191600771321,ZIP
168,15601,1.0203601237925537,ZIP
