Geo_ID,Geo_Type,COUNTY_PriceChange
39151,Counties,1.0958506100132122
36071,Counties,1.125679779319268
39017,Counties,1.1655474237221835
34021,Counties,0.8848285413269152
42129,Counties,1.1394535055671535
29183,Counties,1.2039581704261786
18003,Counties,1.1935948289208853
41039,Counties,1.1812483550134538
37067,Counties,1.0805990328163901
45019,Counties,1.1873906060445403
42077,Counties,1.1021653583092559
06061,Counties,1.1722889034853146
26161,Counties,1.1857900138069717
22071,Counties,1.0100037701149425
48355,Counties,1.1675198514746719
47065,Counties,1.1375720600292303
01089,Counties,1.1471023261419788
12083,Counties,1.0730908447466485
27003,Counties,1.2893045420299212
34035,Counties,0.9876425210628644
12081,Counties,1.1365889719653952
12021,Counties,1.0040116992608143
42079,Counties,0.9303808503847654
37051,Counties,0.9654311359817966
29510,Counties,0.9967062536480744
